,Country Name,Country Code,Renewable electricity output (% of total electricity output),Electric Power Consumption (kWh per capita),C02 Emmissions (metric Ton per capita),Population density (people per sq. km of land area),GDP growth (annual %)
137,Qatar,QAT,0.0,14853.324614744299,42.8603753789717,189.15366063738202,4.68725917732711
34,Curacao,CUW,3.48964013086151,5062.85834516859,39.445663037189,342.540540540541,-0.138917069202421
161,Trinidad and Tobago,TTO,0.0,6612.79564431443,33.7737119622967,262.147563352827,1.26996436520241
88,Kuwait,KWT,0.0,16053.8548571705,30.015093824661797,187.926655443322,6.62581830014175
18,Brunei Darussalam,BRN,0.0508905852417303,9240.85626420779,24.226763143846103,75.7094876660342,0.9128416709644109
166,United Arab Emirates,ARE,0.0,10416.0148840531,24.0431371064746,128.718614474796,4.4846260849087
9,Bahrain,BHR,0.0,17849.244159167,21.196189371380104,1688.23766233766,3.72810843046017
101,Luxembourg,LUX,11.171563293434902,14703.943527213702,19.952995219852898,218.496296296296,-0.352519229052419
140,Saudi Arabia,SAU,0.00036808009422850403,8502.775166559559,19.3736599254191,13.5625076173774,5.4114449021643605
6,Australia,AUS,10.5926533603071,10407.7403070759,17.072904680390803,2.95920036968095,3.91816177220686
127,Oman,OMN,0.0,6176.90705251443,17.0548680414027,11.302193861066199,9.3317368265984
168,United States,USA,12.007397063465099,12966.1159339299,16.1934293295892,34.3081426238218,2.24954585236993
123,North America,NAC,18.6149971504165,13202.212630021699,16.0640492968059,19.1113598915487,2.1992120280353196
22,Canada,CAN,63.230561170876996,15336.624856521299,14.913822006438698,3.8174722411918,1.7622225495542698
84,Kazakhstan,KAZ,8.23125074070483,5180.65381859279,14.4694178907699,6.219983331481281,4.79999999999272
46,Estonia,EST,12.3422745884516,6689.36777611787,12.963592541294402,31.203019580089602,3.1248431915696204
139,Russian Federation,RUS,15.563731105859599,6617.1341613974,12.620269277350399,8.74414469920076,4.02408615717977
111,Mongolia,MNG,0.0,1588.13381531979,12.4172009123804,1.8182104328123798,12.319819848483801
164,Turkmenistan,TKM,0.0,2428.86159570227,12.314754835892902,11.2099674419594,11.0999999615545
86,"Korea, Rep.",KOR,1.33594507802273,10305.3289817402,11.632824562255198,515.875583187751,2.40253099246186
64,High income,HIC,18.682680182476602,8989.765053948271,10.965683583436197,33.6900896178022,1.28915216365596
135,Post-demographic dividend,PST,19.552752223204,9015.75050374597,10.5697316769668,34.396513907020996,1.12682095217835
118,Netherlands,NLD,12.1144649460783,6876.589752934089,10.2516464674763,496.88499406880203,-1.03035400660274
36,Czech Republic,CZE,9.30358646625215,6304.57192302954,9.832826758420039,136.097177262722,-0.7998442809802951
82,Japan,JPN,11.1942473822485,7998.34677071825,9.63434726433648,350.090520078999,1.49508958594926
79,Israel,ISR,0.76821738647366,7184.5016117818095,9.54796776436382,365.54990757855796,2.25723754794416
126,OECD members,OED,20.3931840055906,7880.8618885187,9.463418036048981,36.600784763768104,1.2837939423740201
143,Singapore,SGP,1.35828489919312,8673.98521620115,9.410410137569631,7524.698462914709,4.46160895101333
58,Germany,DEU,23.0004585405584,7270.15252302734,9.17791579204605,230.750625466231,0.41955108005358005
53,Finland,FIN,40.5618440300521,15689.223307623899,9.05308173981723,17.815561551877302,-1.3973545576375
23,Caribbean small states,CSS,9.40062120938693,2883.97641890329,8.87162575917282,17.469840681734,1.2312055237559298
125,Norway,NOR,97.9549112135512,24070.9859157175,8.866872116834811,13.7403303399718,2.7030738548426605
146,South Africa,ZAF,0.6029508106687379,4365.919259764621,8.79499682070288,43.5532441945775,2.21335480848441
12,Belgium,BEL,12.8128790384827,7988.524643889059,8.565189829198559,366.80752972258904,0.7392299050816579
97,Libya,LBY,0.0,2241.25999284095,8.38146426440759,3.5723825545313,123.139555198582
51,Europe & Central Asia (excluding high income),ECA,17.443905443580597,4357.72926121839,8.155190194542639,17.0815333704739,3.95953323166722
76,"Iran, Islamic Rep.",IRN,4.98552753700703,2784.6225083122304,8.09853138201391,46.37875561777061,-7.4445570297602
50,Europe & Central Asia (IDA & IBRD countries),TEC,17.2915104694261,4234.27793667906,7.90995708700071,19.355721759501602,3.4740643115328598
133,Poland,POL,10.437756244164,3899.1766422780797,7.87954104393424,124.300058781268,1.60790664456468
119,New Zealand,NZL,71.86652810410271,9360.949161770379,7.744781198248679,16.7411036420949,2.23956348454135
78,Ireland,IRL,19.365535536642,5651.00848281771,7.7373583361615195,66.7663376397155,0.22571484300233602
102,Malaysia,MYS,7.38348427233016,4338.56165435176,7.5239444644568,88.47408004869878,5.473454192538531
49,Europe & Central Asia,ECS,24.2305344289319,5525.9704941235905,7.45291380807525,32.5723065753623,0.318386069147849
26,China,CHN,19.9662489377563,3474.9880617015697,7.4247509163800895,143.871389770868,7.85962749328517
7,Austria,AUT,74.5291806141755,8548.88219928111,7.393167086418001,102.114865434913,0.680445576816723
167,United Kingdom,GBR,11.423960176561,5449.25947267211,7.35101493770468,263.300190137643,1.4789239471568
60,Greece,GRC,16.7036909052015,5534.89715854516,7.24767136945359,85.6866640806827,-7.30049396069786
145,Slovenia,SVN,27.8428093645485,6718.97505248744,7.133786936255291,102.114051874416,-2.63943872926306
48,Euro area,EMU,24.2670151241074,6637.1916634236095,6.99436984014187,125.538460838468,-0.892120141685922
52,European Union,EUU,25.0092075278919,6248.0639264251295,6.8596129019150105,110.47081317816999,-0.742956810111991
90,Late-demographic dividend,LTE,23.832337766068697,3393.9396209323,6.70677520847278,49.574076524421606,5.413043345209731
11,Belarus,BLR,0.555212831585441,3697.39748396507,6.65325767513217,46.6438075994283,1.6871355364284097
172,"Venezuela, RB",VEN,67.41140785677301,3304.22029851802,6.54035329273795,33.2888713791735,5.62595697508641
24,Central Europe and the Baltics,CEB,14.9657421750934,4093.4593570974603,6.5293463382678,94.1445062126306,0.774585309536135
37,Denmark,DNK,48.32741604507999,6038.552306936221,6.514800846702861,133.164372469636,0.22649979701626002
165,Ukraine,UKR,5.66335455704945,3640.5534825677,6.48759682937917,78.7014810467445,0.23868172076811303
103,Malta,MLT,1.1333914559721001,5002.04748254878,6.3819007304275,1312.5875,2.7941687217873996
40,East Asia & Pacific,EAS,16.8256029847949,3391.4970609146303,6.255061210117541,91.7220917774509,4.694137391669839
106,Middle East & North Africa,MEA,3.1497774441675697,2750.65537435044,6.252015664716049,35.814928209628796,3.8893955249885295
80,Italy,ITA,31.0203903154411,5397.74147734024,6.20541385845015,202.41965390630298,-2.98090576823772
15,Bosnia and Herzegovina,BIH,29.93182786536,3479.08388747541,6.17444185419471,70.409609375,-0.6996143023512359
169,Upper middle income,UMC,23.400631254012698,3063.20733554539,6.17140246885604,47.0250066421029,5.21281625946648
19,Bulgaria,BGR,11.436484252560199,4761.9125833848,6.140537330985639,67.2981577008106,0.3605831882875779
35,Cyprus,CYP,5.44837820648717,4035.0787545174394,6.096342350882701,122.840476190476,-3.446811823115
142,Serbia,SRB,25.689087943380102,4386.5345515821,6.083416110148571,82.3127944203064,-0.6815421330412901
144,Slovak Republic,SVK,19.3236373905676,5137.78901796904,6.06648224649145,112.451738887712,1.89581081230277
66,"Hong Kong SAR, China",HKG,0.234270414993307,6031.24431826128,6.01123159116656,6809.61904761905,1.70027477144173
73,Iceland,ISL,99.9829050088324,53202.833659686505,5.84266765611943,3.19916209476309,1.29643761256099
41,East Asia & Pacific (IDA & IBRD countries),TEA,19.805665107301603,2743.83267857931,5.761212493165469,124.707794962412,7.514997169651071
42,East Asia & Pacific (excluding high income),EAP,19.974903508010897,2717.60216929077,5.7087426266444,125.32658912321699,7.51429472958796
149,Spain,ESP,29.5847480115125,5573.40118151359,5.66093880333453,93.50683712840609,-2.9594413017355494
55,France,FRA,14.8273540719154,7363.42379552155,5.07506234140888,119.91410928328699,0.31313474167846805
174,World,WLD,20.901536405427102,3050.43229541395,5.00593781609368,55.6412023142105,2.51696285255024
3,Arab World,ARB,3.48121852231759,2371.5970092695497,4.95692831352378,33.067669850813395,6.5901205604793205
155,Sweden,SWE,59.06774976567571,14289.5950931227,4.9423008277645195,23.3696027888251,-0.5883045689907359
77,Iraq,IRQ,9.54409144247903,1141.14103002348,4.84310607481446,73.4251496592374,13.9364301737537
156,Switzerland,CHE,59.47461109480479,7886.094306253421,4.733662495821799,202.370199472944,1.00602409431356
25,Chile,CHL,36.4453556221416,3807.5102755134703,4.65362524092192,23.402282979991003,5.31862800041417
98,Lithuania,LTU,26.1205564142195,3607.70379811318,4.62950967158482,47.6716508688507,3.8333027642867004
4,Argentina,ARG,29.261135319663502,3000.60352326565,4.62525961600278,15.2495426957383,-1.0264204544320799
67,Hungary,HUN,7.6396708531832,3923.0423244635604,4.55696838482305,109.580934496852,-1.4717888510830601
68,IBRD only,IBD,22.234845289791103,2237.64470544388,4.49684382954923,63.6295490149756,5.0600847339598705
87,Kosovo,XKX,1.61534578495709,2859.82117263736,4.395271777084471,165.987508037108,2.81026067088996
163,Turkey,TUR,27.2305174199152,2768.97051285912,4.386124614175,96.99857853773891,4.789940207034411
134,Portugal,PRT,42.500438827452996,4736.35177088695,4.37605313022238,114.803406485424,-4.05729435942355
124,North Macedonia,MKD,16.6719897796231,3680.79881288815,4.24989707261997,82.24734337827121,-0.45618322360795094
105,Mexico,MEX,13.788131290116802,2253.5144252371697,4.232175307509141,60.3277630597495,3.64232267941347
32,Croatia,HRV,49.6743132257151,3819.28025348455,4.2284854710820605,76.26086490350251,-2.23764754122368
154,Suriname,SUR,63.23529411764711,3314.58027325888,4.18702436050218,3.46951923076923,2.69035005713098
96,Lebanon,LBN,6.79212194792931,2487.43643288219,4.08633681156762,541.410948191593,2.54054249176635
138,Romania,ROU,25.3955830809542,2604.2431374758303,4.0743154551280805,87.20126510738199,2.0771650065377703
159,Thailand,THA,8.39087073264288,2443.6155592232603,4.02572376180968,132.779966333262,7.24279620249642
107,Middle East & North Africa (IDA & IBRD countries),TMN,5.81175422377858,1643.69643769933,4.00631866358525,39.4920374140443,2.7779499040686804
108,Middle East & North Africa (excluding high income),MNA,5.8077909203897695,1643.69643769933,3.96647871996177,39.9251047298548,2.8047631662476498
171,Uzbekistan,UZB,21.352380952381,1610.80790609414,3.88973319451208,69.99177244945929,7.37568798633509
109,Middle income,MIC,22.6723305275484,1903.7397071101998,3.82704329001378,67.1311357130609,5.18636732295521
8,Azerbaijan,AZE,7.921524273534019,2052.65096521176,3.8079145341587104,112.46079290147301,2.20293902267818
112,Montenegro,MNE,51.933895921237706,5415.71798949728,3.5689082034995097,46.141338289962796,-2.72379678759444
69,IDA & IBRD total,IBT,23.0402244408489,1836.4831374807102,3.54653679879815,63.679649448574295,5.0299678772331795
99,Low & middle income,LMY,23.102076964570898,1804.2316374272302,3.49510902031263,64.0814023386473,5.1444519617334405
1,Algeria,DZA,1.08368033172465,1237.96650680011,3.47710809205046,15.6960402898721,3.39999999820542
94,Latvia,LVA,66.6288308740068,3587.9328659861103,3.4717475479509403,32.7166130588614,4.13423164998356
104,Mauritius,MUS,20.7007508044333,2075.03571195383,3.15928885038563,618.661083743842,3.49611833757979
91,Latin America & Caribbean,LCN,54.885427449732894,2130.8302779406304,3.03221581120441,30.091986675308103,2.78415696409479
83,Jordan,JOR,0.42178838274283,1917.59306042661,3.02120982756865,91.13394908763229,2.65117074802974
93,Latin America & the Caribbean (IDA & IBRD countries),TLA,56.6035114893513,2144.52406697478,3.0091831472850696,29.4774125121339,2.84990465292753
56,Gabon,GAB,42.5138632162662,988.751098771091,2.8901211763051804,6.79039857181666,5.25107691750407
92,Latin America & Caribbean (excluding high income),LAC,57.227915504542295,2064.6926697759804,2.88397706166278,30.0832547707284,2.69765464919141
129,Panama,PAN,62.9315355108683,1955.3792687894602,2.65983693945618,50.72133440947,9.77890394560946
33,Cuba,CUB,3.71174299978294,1379.21832628134,2.6424835310618597,105.75111637412901,3.01490028898772
81,Jamaica,JAM,10.924158714214,1037.60134997249,2.5933594920995895,262.431394275162,-0.6136360398691489
170,Uruguay,URY,61.743889780126494,2946.4565279283,2.57310562318621,19.306216432407698,3.5381787068568795
44,"Egypt, Arab Rep.",EGY,8.87941297956605,1685.46892559138,2.5468908003310298,86.8172585262946,2.22619979662136
16,Botswana,BWA,0.0,1756.2689042833401,2.49195141479669,3.5988054276286805,4.456167213097871
162,Tunisia,TUN,1.7219423066275399,1408.86855188189,2.48951627371323,69.8184989701339,3.99767400230937
17,Brazil,BRA,82.4482831002635,2501.47405281669,2.3585483642670297,23.843498194574398,1.92115031836302
57,Georgia,GEO,74.50232078390921,2329.92587038339,2.26478583078967,65.238006928164,6.3690083063386
39,Early-demographic dividend,EAR,18.4072087708038,1095.41733524652,2.26019796431212,90.4396974221858,4.24396082201173
38,Dominican Republic,DOM,14.476588823051,1499.3589208482501,2.21181420314813,205.566363071828,2.7173678967056203
75,Indonesia,IDN,11.2368144778283,733.37182682142,2.13172469369416,137.147564267459,6.0300506530561195
43,Ecuador,ECU,54.869348273296296,1277.03694857382,2.10198239613517,62.3051296505073,5.641962066712001
5,Armenia,ARM,28.9447486311598,1892.01342889209,1.97447948827919,101.30765718299999,7.2000000000000295
131,Peru,PER,55.2503189972228,1238.08799520978,1.8728466819228202,23.052178125,6.139724705604349
14,Bolivia,BOL,32.3064874037332,654.4817934188729,1.8134160287910301,9.57968799039971,5.12227466098376
89,Kyrgyz Republic,KGZ,93.47969409282699,1809.1025823940602,1.80694838778713,29.2346193952033,-0.0881502127179488
113,Morocco,MAR,8.62996158770807,876.84523910157,1.78309277045492,74.4833027111808,3.0099612622197793
27,Colombia,COL,79.5501941031153,1170.04531212725,1.74027288064496,41.529380802163104,3.91263576716115
110,Moldova,MDA,4.63633229920717,1885.3223233214103,1.72227778830813,99.6430985817333,-0.589734134738677
0,Albania,ALB,100.0,2118.32777605579,1.6979655571763999,105.85405109489099,1.41752599216282
74,India,IND,15.732973360913,723.235461275311,1.59094283072059,425.732223638583,5.45635895072287
173,Vietnam,VNM,45.0192189944894,1206.30289448443,1.58828153612271,289.620043861064,5.2473671560487
30,Costa Rica,CRI,91.8419500688028,1942.83276450512,1.5652020051194502,91.8135526831179,4.79691991858162
116,Namibia,NAM,97.8088861838101,1660.75568256375,1.54212943050432,2.66586986359606,5.0616820132676
100,Lower middle income,LMC,19.6281548711746,697.990856577238,1.41312286440555,119.930413349525,5.07571323937921
2,Angola,AGO,60.7994842037395,219.253430320483,1.36118105470339,20.139513114622602,8.54214733662195
148,South Asia (IDA & IBRD),TSA,17.194764154073802,637.222116829657,1.35780829393307,352.87015805724195,5.50198593146175
147,South Asia,SAS,17.194764154073802,637.222116829657,1.35780829393307,352.87015805724195,5.50198593146176
45,El Salvador,SLV,60.237293570626896,915.689404950975,1.06813421711041,301.05805984556,2.81550182179528
65,Honduras,HND,49.302325581395394,636.638898439951,1.06054400047404,77.2248726427742,4.12868774866939
54,Fragile and conflict affected situations,FCS,41.238528212587795,502.397442596554,1.03421350435309,41.0457953468654,7.80917214319932
132,Philippines,PHL,28.4444810136998,664.121469473959,0.9328510352738291,326.03091524969,6.896951710574781
70,IDA blend,IDB,31.6415581907042,374.672829916312,0.924844422140203,109.47494467165701,4.49220002151725
128,Pakistan,PAK,31.0605981794538,427.847975887631,0.908401634491612,242.94504332710702,3.5070334200968905
152,Sub-Saharan Africa (IDA & IBRD countries),TSS,24.0912316955305,496.583800572045,0.862584180021535,43.20269244133571,3.96407442049798
151,Sub-Saharan Africa,SSF,24.0912316955305,496.583800572045,0.862584180021535,43.20269244133571,3.96407442049798
153,Sub-Saharan Africa (excluding high income),SSA,24.1335626151068,493.846837718069,0.8590943210214279,43.1444712503067,3.96945352495732
130,Paraguay,PRY,99.99501950693121,1359.0257247825698,0.822882056437798,16.162879436194302,-0.538512942503061
61,Guatemala,GTM,66.8827029324267,550.265993466894,0.804004440012009,137.942721164614,2.9698574079877997
150,Sri Lanka,LKA,29.2412402319133,524.3084455324359,0.786362790697674,325.70562908627005,9.144572246425671
120,Nicaragua,NIC,42.8181592656909,569.324730055498,0.771706299312364,49.7135283363803,6.49674729903211
175,"Yemen, Rep.",YEM,0.0,193.804008617107,0.7640214523835028,46.35334962213761,2.3928856820532003
122,Nigeria,NGA,19.7136487145544,156.797185498593,0.711652786389318,183.61251139146,4.2300611751055595
29,"Congo, Rep.",COG,58.05882352941179,214.624723792614,0.656941446916521,13.2070219619327,3.79997131252208
177,Zimbabwe,ZWE,60.393349994567004,608.762504926562,0.6003027342997951,33.9023678428331,16.6654287684678
141,Senegal,SEN,9.82608695652174,215.490370050241,0.5904634617349019,69.609884173895,5.11739423674786
59,Ghana,GHA,67.1240851630073,342.200582856528,0.571706966593784,114.250017579327,9.29278940459677
136,Pre-demographic dividend,PRE,45.9471903793222,233.885629667785,0.562620171495495,43.597170660833704,5.56180916321026
72,IDA total,IDA,42.0886151273382,310.930146388748,0.539148890283452,63.8385405725111,4.593354225839151
13,Benin,BEN,0.0,93.12127720456921,0.49374525143156,86.28279531748849,4.811223315687999
10,Bangladesh,BGD,1.60001647378609,283.46216563492,0.44812794347778295,1160.0814857494,6.5214350783733295
31,Cote d'Ivoire,CIV,26.439566704675002,234.787017220066,0.431247826862605,67.7584528301887,10.7065041034855
157,Tajikistan,TJK,99.56403911865209,1761.05277126441,0.37206277972808294,56.264897113461,7.48617522370516
20,Cambodia,KHM,37.6569037656904,207.233147236208,0.369169715625785,83.73246091094491,7.31334550530008
160,Togo,TGO,84.68468468468471,144.379667150245,0.355666909317021,124.541404669976,6.54350703065616
71,IDA only,IDX,50.2666951618968,269.460059767158,0.34328213580847694,52.764890276768206,4.69535531313643
95,Least developed countries: UN classification,LDC,52.494213984108704,184.651526192622,0.28808872586387296,49.3653451597916,4.76563198818864
85,Kenya,KEN,74.77653973307208,150.43949033238502,0.282818574394707,77.91300910145131,4.563209130711201
21,Cameroon,CMR,75.36507936507941,247.425375138479,0.28041919518240993,45.45126187302999,4.543265015667361
176,Zambia,ZMB,99.8544631306598,733.211979353647,0.25426686717656893,19.458320666137602,7.59759321053188
63,Heavily indebted poor countries (HIPC),HPC,67.2814271281391,198.345680299864,0.24888289237335298,37.988486307253105,5.43071397881209
115,Myanmar,MMR,72.36302646291459,156.009007560592,0.233869444676008,78.716524534946,7.332670447154679
117,Nepal,NPL,99.4650900900901,120.897246529086,0.21697773037891,188.27946982909,4.78119225754814
62,Haiti,HTI,20.0909090909091,46.1421549069206,0.214634184410585,371.949564586357,2.8922401722722406
158,Tanzania,TZA,32.1882268742172,97.80568212758008,0.20286286285307698,53.1186283585459,4.500153559821269
114,Mozambique,MOZ,99.86153237504949,459.96709602291804,0.125514265415333,31.616582313894,7.25843925258778
121,Niger,NER,0.0,49.3391725888191,0.0991181831091333,14.0484653035446,10.5999073974466
47,Ethiopia,ETH,99.8419388830348,57.210970473736296,0.0918658391203138,92.72697099999999,8.647811633374161
28,"Congo, Dem. Rep.",COD,99.88176563321069,112.18365979145399,0.0348525929457124,30.4451807414922,7.08689894671942
